custom/steps,custom/pnl,train/n_updates,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef,time/total_timesteps
1000,-3022250.0000000037,,,,,,,,,,,,
,,7,252.0,112.05301666259766,-2.614593982696533,712,1,4,0.0003,40.80513381958008,-0.008523537777364254,1.0017603635787964,1008
2000,-2618490.0000000014,999,,48.691951751708984,,,,,0.0003,59.57350540161133,-0.9999798536300659,1.3426913022994995,
,,1015,252.0,48.30389404296875,-4.7243876457214355,81,24,8,0.0003,61.58486557006836,-1.0206894874572754,1.348923683166504,2016
3000,16113260.000000002,1999,,94.38514709472656,,,,,0.0003,97.74102783203125,-2.242966651916504,1.806687593460083,
,,2023,252.0,91.20109558105469,-5.700432300567627,59,50,12,0.0003,98.82562255859375,-1.9319325685501099,1.8193976879119873,3024
4000,-2591660.000000009,2999,,161.68505859375,,,,,0.0003,146.88575744628906,-3.800471782684326,2.42828106880188,
,,3031,252.0,157.19924926757812,-5.3943891525268555,52,76,16,0.0003,149.59461975097656,-2.9703867435455322,2.451556444168091,4032
5000,-2471670.000000004,3999,,255.7561798095703,,,,,0.0003,217.6559295654297,-4.683193206787109,3.2676289081573486,
,,4039,252.0,302.62811279296875,-5.310061931610107,49,102,20,0.0003,223.40969848632812,-4.949265480041504,3.3078746795654297,5040
6000,-3379069.999999993,4999,,431.8073425292969,,,,,0.0003,307.8963317871094,-4.8284101486206055,4.4025044441223145,
,,5047,252.0,561.119384765625,-4.1222243309021,46,129,24,0.0003,313.7294921875,-5.742481708526611,4.465658664703369,6048
7000,-3608919.9999999977,5999,,33.37340545654297,,,,,0.0003,244.2268829345703,2.2780776023864746,3.9001028537750244,
,,6055,252.0,25.164724349975586,-3.2644219398498535,45,156,28,0.0003,243.3477783203125,2.2594504356384277,3.8590216636657715,7056
8000,2710110.0000000056,6999,,14.121417045593262,,,,,0.0003,227.80807495117188,1.908779501914978,3.1472320556640625,
,,7063,252.0,16.551700592041016,-3.1466028690338135,44,183,32,0.0003,224.5033721923828,1.9166359901428223,3.099085807800293,8064
9000,-2430109.9999999986,7999,,9.754526138305664,,,,,0.0003,208.8284454345703,1.4968591928482056,2.432176351547241,
,,8071,252.0,15.826333999633789,-3.0575246810913086,43,209,36,0.0003,210.1561737060547,1.4698389768600464,2.3846802711486816,9072
10000,-193149.99999999552,8999,,9.112761497497559,,,,,0.0003,197.63436889648438,1.0198752880096436,1.8341178894042969,
,,9079,252.0,7.311192035675049,-2.520343780517578,42,237,40,0.0003,195.6678924560547,0.9817097187042236,1.7921143770217896,10080
11000,-5830870.000000004,9999,,11.819442749023438,,,,,0.0003,187.61178588867188,0.5268464088439941,1.3682507276535034,
,,10087,252.0,9.497666358947754,-2.5666353702545166,42,263,44,0.0003,184.22479248046875,0.48488086462020874,1.333032488822937,11088
12000,7184620.000000001,10999,,8.288551330566406,,,,,0.0003,174.42478942871094,0.027186892926692963,1.0163077116012573,
,,11095,252.0,7.0872907638549805,-2.2178070545196533,41,289,48,0.0003,175.6195068359375,-0.021283257752656937,0.9875987768173218,12096
13000,1076279.9999999895,11999,,5.671164035797119,,,,,0.0003,164.67788696289062,-0.47551625967025757,0.753646969795227,
,,12103,252.0,3.284804344177246,-2.136228322982788,41,316,52,0.0003,165.25547790527344,-0.528059720993042,0.7305519580841064,13104
14000,-2973330.0000000047,12999,,6.753868579864502,,,,,0.0003,155.25863647460938,-0.9701220989227295,0.5586668252944946,
,,13111,252.0,4.843877792358398,-1.509277105331421,41,342,56,0.0003,155.09368896484375,-1.0332095623016357,0.5402573347091675,14112
15000,931939.9999999976,13999,,4.895059585571289,,,,,0.0003,148.38446044921875,-1.456307053565979,0.41425296664237976,
,,14119,252.0,4.941125869750977,-1.314268946647644,40,368,60,0.0003,149.6432342529297,-1.5356398820877075,0.3996657431125641,15120
16000,1563519.9999999937,14999,,3.0468525886535645,,,,,0.0003,143.01651000976562,-1.9332313537597656,0.307376503944397,
,,15127,252.0,3.9337668418884277,-0.9005657434463501,40,395,64,0.0003,141.0003662109375,-2.021512508392334,0.2958720922470093,16128
17000,6585620.000000004,15999,,2.0300333499908447,,,,,0.0003,135.607421875,-2.4209625720977783,0.22837677597999573,
,,16135,252.0,1.6143971681594849,-0.16507774591445923,40,422,68,0.0003,135.71307373046875,-2.4630396366119385,0.21933262050151825,17136
18000,12172460.0,16999,,2.6137044429779053,,,,,0.0003,129.2835693359375,-2.9192020893096924,0.16995061933994293,
,,17143,252.0,2.987459659576416,0.9947948455810547,40,449,72,0.0003,127.83954620361328,-2.865657091140747,0.16290022432804108,18144
19000,5851790.000000002,17999,,2.458073139190674,,,,,0.0003,125.08485412597656,-3.113129138946533,0.1268206089735031,
,,18151,252.0,3.4703264236450195,2.1025402545928955,40,476,76,0.0003,125.50148010253906,-3.456404685974121,0.12134379148483276,19152
20000,12929190.000000002,18999,,4.911779403686523,,,,,0.0003,119.55435943603516,-3.2943215370178223,0.09510724991559982,
,,19159,252.0,1.7565380334854126,3.779275894165039,40,502,80,0.0003,118.3552017211914,-3.5695629119873047,0.09082082659006119,20160
21000,11213200.000000004,19999,,3.0267858505249023,,,,,0.0003,112.32694244384766,-3.43640398979187,0.07156161218881607,
,,20167,252.0,1.2833471298217773,5.31150484085083,40,529,84,0.0003,112.56478881835938,-3.522399663925171,0.06830286234617233,21168
22000,10181419.999999994,20999,,1.5223726034164429,,,,,0.0003,107.69829559326172,-3.46651554107666,0.05441013723611832,
,,21175,252.0,1.649915337562561,7.115703105926514,39,556,88,0.0003,107.02103424072266,-3.5129735469818115,0.05189136415719986,22176
23000,11760440.0,21999,,2.0374696254730225,,,,,0.0003,103.81230163574219,-2.6592581272125244,0.041820090264081955,
,,22183,252.0,1.0560376644134521,9.11296558380127,39,583,92,0.0003,101.91002655029297,-3.4742233753204346,0.03989171236753464,23184
24000,14532990.000000002,22999,,1.0401122570037842,,,,,0.0003,98.8033447265625,-2.6402475833892822,0.03265378624200821,
,,23191,252.0,1.2867655754089355,11.216278076171875,39,610,96,0.0003,97.9227523803711,-3.2495152950286865,0.031210215762257576,24192
25000,12567630.000000002,23999,,1.7251337766647339,,,,,0.0003,93.3004150390625,-2.0086452960968018,0.02591587044298649,
